location;total_cases_per_million;total_deaths_per_million;total_vaccinations_per_hundred;gdp_per_capita;population_density;hospital_beds_per_thousand;median_age;cluster
Tonga;0.09809617148247586;0.004797739433906179;0.49794819708864224;0.04097532766467173;0.018707945032380352;0.19305019305019308;0.21752265861027203;0
Trinidad and Tobago;0.1903396280025916;0.26282405452978147;0.35601867323149705;0.241685527230595;0.033474648554730695;0.2239382239382239;0.6374622356495467;2
Tunisia;0.17173613439957147;0.28900481905049163;0.2886996143505042;0.0876208649955158;0.009129679355552046;0.16988416988416985;0.5317220543806647;2
Turkey;0.34925293702368954;0.13318462815286902;0.5656776112089283;0.21043418342616554;0.013006476070131102;0.20926640926640924;0.4984894259818731;2
;0.004951646416599111;0.005408358996561286;0.05515297848113167;0.008914003052779652;0.026761017216869375;0.03088803088803089;0.0392749244712991;0
Uganda;0.19668192276266558;0.23204390616585402;0.13955355849362494;0.062207609657021566;0.009528984362659927;0.6718146718146719;0.7945619335347429;2
Ukraine;0.19001926243158776;0.02820017263187601;0.7780481465507104;0.5730604752414893;0.01395798452061286;0.08494208494208494;0.5709969788519635;2
United Arab Emirates;0.5751922084309137;0.4171152092502865;0.7340665383599203;0.3362048176399337;0.034234086242299795;0.1884169884169884;0.7764350453172202;1
United Kingdom;0.5968678457546008;0.40000501495811935;0.6818528632191762;0.4606708650127165;0.004249565629442426;0.20617760617760617;0.7009063444108758;1
United States;0.5805910627407375;0.29008241496956405;0.9148730914352659;0.1710623907110734;0.002245458853261728;0.20849420849420847;0.619335347432024;1
Uruguay;0.008413685411285262;0.002952793906937054;0.43028731114641855;0.04809194391609639;0.00936976780919286;0.30115830115830117;0.3957703927492446;0
Uzbekistan;0.03611492544075683;0.02132817124600817;0.24615860676570644;0.1383261107607903;0.004330437529616175;0.054054054054054064;0.4199395770392748;0
Venezuela;0.10872696911004179;0.03638552616520992;0.5266681666894336;0.04739342362323044;0.0386858316221766;0.19305019305019305;0.5287009063444108;2
Vietnam;0.0;0.007958880814342135;0.00924300444431538;0.007034310917729414;0.006511451587426947;0.04633204633204633;0.15709969788519645;0
Yemen;0.03708301023278219;0.027558534320737495;0.057805508207892355;0.026041940802770284;0.002656136471331543;0.1467181467181467;0.07854984894259825;0
Zambia;0.030422629563230864;0.042199712318726;0.18198928953096954;0.01065187544356297;0.005149265518875377;0.12355212355212354;0.13595166163141997;0
